"21","2655 SCOTTWOOD ROAD, COLUMBUS, OH, 43209","Match","Exact","2655 SCOTTWOOD RD, COLUMBUS, OH, 43209","-82.92358771199997,39.93969167800003","135591291","R"
"22","4950 MORSE ROAD, COLUMBUS, OH, 43230","Tie"
"23","1000 NOE BIXBY ROAD, COLUMBUS, OH, 43213","No_Match"
"24","1735 BETHEL RD, COLUMBUS, OH, 43220","Match","Exact","1735 BETHEL RD, COLUMBUS, OH, 43220","-83.06661235199994,40.06398569000004","649632096","L"
"25","1220 BETHEL ROAD, COLUMBUS, OH, 43220","Match","Exact","1220 BETHEL RD, COLUMBUS, OH, 43220","-83.05198334499994,40.06360937300008","218658541","R"
"26","1623 BRICE ROAD, REYNOLDSBURG, OH, 43068","Match","Exact","1623 BRICE RD, REYNOLDSBURG, OH, 43068","-82.82949575499998,39.947068382000054","135594692","R"
"27","1080 BINNS BOULEVARD, COLUMBUS, OH, 43204","Match","Exact","1080 BINNS BLVD, COLUMBUS, OH, 43204","-83.08042378099998,39.93238403500004","218646458","L"
"28","263 CARPENTER STREET, COLUMBUS, OH, 43205","Match","Exact","263 CARPENTER ST, COLUMBUS, OH, 43205","-82.97459844099996,39.959481793000066","135580606","R"
"29","4481 EAST DUBLIN GRANVILLE ROAD, WESTERVILLE, OH, 43081","Match","Exact","4481 E DUBLIN GRANVILLE RD, WESTERVILLE, OH, 43081","-82.87349715399995,40.079412373000025","218661229","R"
"250","5950 SELLS MILL DRIVE, DUBLIN, OH, 43017","Match","Exact","5950 SELLS MILL DR, DUBLIN, OH, 43017","-83.15101337499993,40.11551192400003","641095836","L"
"130","3950 SUMMIT VIEW RD, DUBLIN, OH, 43016","Match","Exact","3950 SUMMIT VIEW RD, DUBLIN, OH, 43016","-83.09544331999996,40.13193511900005","218664511","R"
"251","1520 DAVIDSON DRIVE, REYNOLDSBURG, OH, 43068","Match","Exact","1520 DAVIDSON DR, REYNOLDSBURG, OH, 43068","-82.80545698899994,39.95340990100004","218680454","L"
"131","1226 SHADY LANE ROAD, COLUMBUS, OH, 43227","Match","Exact","1226 SHADY LANE RD, COLUMBUS, OH, 43227","-82.87103374099996,39.950678476000064","640030513","L"
"252","95 E WILSON BRIDGE RD, WORTHINGTON, OH, 43085","Match","Exact","95 E WILSON BRIDGE RD, WORTHINGTON, OH, 43085","-83.01425572499994,40.10931910000005","218697899","R"
"132","1515 GOODALE BOULEVARD, COLUMBUS, OH, 43212","Match","Exact","1515 GOODALE BLVD, COLUMBUS, OH, 43212","-83.04417622699998,39.97669423100007","218689401","L"
"253","850 NORTH NELSON ROAD, COLUMBUS, OH, 43219","Match","Exact","850 N NELSON RD, COLUMBUS, OH, 43219","-82.94112300299997,39.98682669000004","135590370","R"
"133","555 NORTH HIGH STREET, COLUMBUS, OH, 43215","Match","Exact","555 N HIGH ST, COLUMBUS, OH, 43215","-83.00290522499995,39.97353433600006","218651212","L"
"254","7260 SMOKY ROW ROAD, COLUMBUS, OH, 43235","Match","Exact","7260 SMOKY ROW RD, COLUMBUS, OH, 43235","-83.06561155399999,40.11107538500005","135607155","R"
"134","4301 GREENSVIEW DRIVE, COLUMBUS, OH, 43221","Match","Non_Exact","4301 GREENSVIEW DR, COLUMBUS, OH, 43220","-83.05799069899996,40.04506596900006","135563089","L"
"255","2365 MIDDLEHURST DRIVE, COLUMBUS, OH, 43219","Match","Exact","2365 MIDDLEHURST DR, COLUMBUS, OH, 43219","-82.94583630199998,40.00617514600003","135578826","R"
"135","777 HIGH ST., WORTHINGTON, OH, 43085","Match","Non_Exact","777 N HIGH ST, WORTHINGTON, OH, 43085","-83.01812409599995,40.089549917000056","135604029","L"
"256","4750 BIG RUN SOUTH ROAD, GROVE CITY, OH, 43123","Match","Exact","4750 BIG RUN SOUTH RD, GROVE CITY, OH, 43123","-83.11626034999995,39.89407667200004","218674731","R"
"136","4665 HOOVER ROAD, GROVE CITY, OH, 43123","Match","Exact","4665 HOOVER RD, GROVE CITY, OH, 43123","-83.07057757999996,39.86910078200003","135769396","R"
"257","3500 FIRST AVENUE, GROVE CITY, OH, 43123","Match","Exact","3500 1ST AVE, GROVE CITY, OH, 43123","-83.08504066999996,39.89957521900004","642841732","L"
"137","2684 COLUMBUS STREET, GROVE CITY, OH, 43123","Match","Exact","2684 COLUMBUS ST, GROVE CITY, OH, 43123","-83.07462898499995,39.88136090900008","218641767","R"
"258","1500 SOUTH FOURTH STREET, COLUMBUS, OH, 43207","No_Match"
"138","7370 GROVEPORT ROAD, GROVEPORT, OH, 43125","No_Match"
"259","145 SOUTH CENTRAL AVENUE, COLUMBUS, OH, 43222","Match","Exact","145 S CENTRAL AVE, COLUMBUS, OH, 43222","-83.03760887699997,39.95467212500006","218679964","R"
"139","6400 LOCKBOURNE ROAD, LOCKBOURNE, OH, 43137","Match","Exact","6400 LOCKBOURNE RD, LOCKBOURNE, OH, 43137","-82.97191037899995,39.83322504200004","218639359","L"
"30","1280 BRENTNELL AVENUE, COLUMBUS, OH, 43219","Match","Exact","1280 BRENTNELL AVE, COLUMBUS, OH, 43219","-82.94956774299999,39.99522983600008","218653169","R"
"31","3160 BRICE ROAD, BRICE, OH, 43109","Match","Non_Exact","3160 BRICE RD, CANAL WINCHESTER, OH, 43110","-82.83251698899994,39.91382070000003","637309589","L"
"32","3231 BRIGGS ROAD, COLUMBUS, OH, 43204","Match","Exact","3231 BRIGGS RD, COLUMBUS, OH, 43204","-83.08339292699998,39.93216763700008","640031634","L"
"33","4501 BRITTON ROAD, HILLIARD, OH, 43026","Match","Exact","4501 BRITTON RD, HILLIARD, OH, 43026","-83.13433638199996,40.05128635700004","218657893","L"
"34","760 EAST BROAD STREET, COLUMBUS, OH, 43205","Match","Exact","760 E BROAD ST, COLUMBUS, OH, 43205","-82.98007237599995,39.964634809000074","218680164","L"
"35","501 EAST BROAD STREET, COLUMBUS, OH, 43215","Match","Exact","501 E BROAD ST, COLUMBUS, OH, 43215","-82.98522582099997,39.96393054500004","135579322","R"
"36","2494 WALKER ROAD, HILLIARD, OH, 43026","Match","Exact","2494 WALKER RD, HILLIARD, OH, 43026","-83.20202236899996,39.99972672900003","218689699","L"
"37","3880 REED ROAD, COLUMBUS, OH, 43220","Match","Exact","3880 REED RD, COLUMBUS, OH, 43220","-83.06655323499996,40.03554443100006","218656540","R"
"38","1528 LONDON GROVEPORT ROAD, GROVE CITY, OH, 43123","Match","Exact","1528 LONDON GROVEPORT RD, GROVE CITY, OH, 43123","-83.04711674899994,39.82796375700008","218638160","R"
